Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      708     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain const*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::__normal_iterator(climber_problem::Mountain const* const&)
  0.00      0.00     0.00      630     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::base() const
  0.00      0.00     0.00      573     0.00     0.00  std::_Iter_base<climber_problem::Mountain*, false>::_S_base(climber_problem::Mountain*)
  0.00      0.00     0.00      564     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain const*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::base() const
  0.00      0.00     0.00      455     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::__normal_iterator(climber_problem::Mountain* const&)
  0.00      0.00     0.00      426     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::begin() const
  0.00      0.00     0.00      374     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::size() const
  0.00      0.00     0.00      349     0.00     0.00  std::_Niter_base<climber_problem::Mountain*>::iterator_type std::__niter_base<climber_problem::Mountain*>(climber_problem::Mountain*)
  0.00      0.00     0.00      300     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::operator*() const
  0.00      0.00     0.00      282     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::end() const
  0.00      0.00     0.00      269     0.00     0.00  bool __gnu_cxx::operator==<climber_problem::Mountain const*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >(__gnu_cxx::__normal_iterator<climber_problem::Mountain const*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > > const&, __gnu_cxx::__normal_iterator<climber_problem::Mountain const*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > > const&)
  0.00      0.00     0.00      269     0.00     0.00  std::priority_queue<climber_problem::Mountain, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >, std::less<climber_problem::Mountain> >::empty() const
  0.00      0.00     0.00      269     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::empty() const
  0.00      0.00     0.00      224     0.00     0.00  std::_Miter_base<climber_problem::Mountain*>::iterator_type std::__miter_base<climber_problem::Mountain*>(climber_problem::Mountain*)
  0.00      0.00     0.00      221     0.00     0.00  std::_Vector_base<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_M_get_Tp_allocator()
  0.00      0.00     0.00      197     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::difference_type __gnu_cxx::operator-<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >(__gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > > const&, __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > > const&)
  0.00      0.00     0.00      183     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::operator[](unsigned long) const
  0.00      0.00     0.00      168     0.00     0.00  __gnu_cxx::new_allocator<climber_problem::Mountain>::max_size() const
  0.00      0.00     0.00      154     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::end()
  0.00      0.00     0.00      154     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::begin()
  0.00      0.00     0.00      144     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain const*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::operator*() const
  0.00      0.00     0.00      144     0.00     0.00  std::priority_queue<climber_problem::Mountain, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >, std::less<climber_problem::Mountain> >::top() const
  0.00      0.00     0.00      144     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::front() const
  0.00      0.00     0.00      125     0.00     0.00  std::_Vector_base<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      125     0.00     0.00  climber_problem::Mountain* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<climber_problem::Mountain>(climber_problem::Mountain const*, climber_problem::Mountain const*, climber_problem::Mountain*)
  0.00      0.00     0.00      112     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<climber_problem::Mountain> >::max_size(std::allocator<climber_problem::Mountain> const&)
  0.00      0.00     0.00      112     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::max_size() const
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::__uninitialized_copy<true>::__uninit_copy<climber_problem::Mountain*, climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::__copy_move_a<false, climber_problem::Mountain*, climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::__copy_move_a2<false, climber_problem::Mountain*, climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::uninitialized_copy<climber_problem::Mountain*, climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::__uninitialized_copy_a<climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain>(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*, std::allocator<climber_problem::Mountain>&)
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::__uninitialized_move_if_noexcept_a<climber_problem::Mountain*, climber_problem::Mountain*, std::allocator<climber_problem::Mountain> >(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*, std::allocator<climber_problem::Mountain>&)
  0.00      0.00     0.00      112     0.00     0.00  climber_problem::Mountain* std::copy<climber_problem::Mountain*, climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00      111     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::operator+(long) const
  0.00      0.00     0.00       96     0.00     0.00  void std::_Destroy_aux<true>::__destroy<climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00       96     0.00     0.00  std::_Vector_base<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_M_deallocate(climber_problem::Mountain*, unsigned long)
  0.00      0.00     0.00       96     0.00     0.00  void std::_Destroy<climber_problem::Mountain*>(climber_problem::Mountain*, climber_problem::Mountain*)
  0.00      0.00     0.00       96     0.00     0.00  void std::_Destroy<climber_problem::Mountain*, climber_problem::Mountain>(climber_problem::Mountain*, climber_problem::Mountain*, std::allocator<climber_problem::Mountain>&)
  0.00      0.00     0.00       72     0.00     0.00  __gnu_cxx::new_allocator<climber_problem::Mountain>::construct(climber_problem::Mountain*, climber_problem::Mountain const&)
  0.00      0.00     0.00       72     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<climber_problem::Mountain> >::construct<climber_problem::Mountain>(std::allocator<climber_problem::Mountain>&, climber_problem::Mountain*, climber_problem::Mountain const&)
  0.00      0.00     0.00       72     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::push_back(climber_problem::Mountain const&)
  0.00      0.00     0.00       72     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       69     0.00     0.00  std::_Vector_base<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       56     0.00     0.00  __gnu_cxx::new_allocator<climber_problem::Mountain>::deallocate(climber_problem::Mountain*, unsigned long)
  0.00      0.00     0.00       56     0.00     0.00  __gnu_cxx::new_allocator<climber_problem::Mountain>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       56     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<climber_problem::Mountain> >::deallocate(std::allocator<climber_problem::Mountain>&, climber_problem::Mountain*, unsigned long)
  0.00      0.00     0.00       56     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<climber_problem::Mountain> >::allocate(std::allocator<climber_problem::Mountain>&, unsigned long)
  0.00      0.00     0.00       56     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00       56     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_M_insert_aux(__gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >, climber_problem::Mountain const&)
  0.00      0.00     0.00       56     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       53     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<std::less<climber_problem::Mountain> >::_Iter_comp_val(std::less<climber_problem::Mountain>)
  0.00      0.00     0.00       53     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >, long, climber_problem::Mountain, __gnu_cxx::__ops::_Iter_comp_val<std::less<climber_problem::Mountain> > >(__gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >, long, long, climber_problem::Mountain, __gnu_cxx::__ops::_Iter_comp_val<std::less<climber_problem::Mountain> >)
  0.00      0.00     0.00       49     0.00     0.00  bool __gnu_cxx::operator!=<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >(__gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > > const&, __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > > const&)
  0.00      0.00     0.00       46     0.00     0.00  climber_problem::less_start(climber_problem::Mountain const&, climber_problem::Mountain const&)
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::new_allocator<climber_problem::Mountain>::~new_allocator()
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::operator--()
  0.00      0.00     0.00       40     0.00     0.00  std::allocator<climber_problem::Mountain>::~allocator()
  0.00      0.00     0.00       40     0.00     0.00  std::_Vector_base<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00       40     0.00     0.00  std::_Vector_base<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::~_Vector_base()
  0.00      0.00     0.00       40     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::~vector()
  0.00      0.00     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<climber_problem::Mountain>::destroy(climber_problem::Mountain*)
  0.00      0.00     0.00       36     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<climber_problem::Mountain> >::destroy(std::allocator<climber_problem::Mountain>&, climber_problem::Mountain*)
  0.00      0.00     0.00       36     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<std::less<climber_problem::Mountain> > __gnu_cxx::__ops::__iter_comp_val<std::less<climber_problem::Mountain> >(std::less<climber_problem::Mountain>)
  0.00      0.00     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<climber_problem::Mountain*, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> > >::operator-(long) const
  0.00      0.00     0.00       36     0.00     0.00  std::priority_queue<climber_problem::Mountain, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >, std::less<climber_problem::Mountain> >::pop()
  0.00      0.00     0.00       36     0.00     0.00  std::priority_queue<climber_problem::Mountain, std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >, std::less<climber_problem::Mountain> >::push(climber_problem::Mountain const&)
  0.00      0.00     0.00       36     0.00     0.00  std::vector<climber_problem::Mountain, std::allocator<climber_problem::Mountain> >::pop_back()
